MANGAID Mass b/a SFR
1-41257 10.867871284484863 0.6402037739753723 0.1427249312400818
1-576436 10.90810489654541 0.7975018620491028 -0.054703548550605774
1-40071 10.933395385742188 0.6062904000282288 0.36091554164886475
1-378039 10.858400344848633 0.8928462266921997 1.182689905166626
1-175935 10.616275787353516 0.7845985889434814 0.2386358678340912
1-110165 10.689175605773926 0.8829544186592102 0.22735515236854553
1-235398 10.557376861572266 0.5964146852493286 0.18490588665008545
1-212401 10.651283264160156 0.7144837975502014 0.1398405283689499
1-505223 10.939101219177246 0.6089555025100708 0.740132212638855
1-412105 10.761474609375 0.8079770803451538 0.44572606682777405
1-625977 10.658282279968262 0.8528801798820496 0.5879110097885132
1-244377 10.749770164489746 0.5556975603103638 0.6792607307434082
1-95843 10.777626037597656 0.8407524824142456 -0.004922469612210989
1-318105 10.660543441772461 0.5667065382003784 0.7125868201255798
1-295374 10.635692596435547 0.8668363690376282 0.8194293975830078
1-382712 10.669859886169434 0.6972805261611938 0.7334483861923218
1-402014 10.943610191345215 0.9135898947715759 -0.0348464660346508
1-626502 10.559723854064941 0.5481129288673401 -0.18708887696266174
1-27599 10.60719108581543 0.7779662013053894 0.8320777416229248
1-29679 10.651076316833496 0.566279411315918 0.9074617624282837
1-40201 10.696346282958984 0.7353354096412659 0.649133026599884
1-50537 10.905679702758789 0.7064478397369385 0.5850265026092529
1-135739 10.641085624694824 0.5349123477935791 0.7204546928405762
1-634329 10.902116775512695 0.6697016358375549 -0.09016522020101547
1-446242 10.691207885742188 0.5988821983337402 0.06445416808128357
1-113712 10.753170013427734 0.9425342082977295 1.1512211561203003
1-213726 10.637663841247559 0.6507207751274109 0.6335240602493286
1-195251 10.820330619812012 0.769210696220398 0.3191109001636505
1-522187 10.891915321350098 0.7678594589233398 0.5706905722618103
1-256456 10.77230453491211 0.785620391368866 -0.10785650461912155
1-637825 10.682598114013672 0.7032647132873535 0.09997262060642242
1-294537 10.741268157958984 0.6056041121482849 0.42285338044166565
1-413103 10.709474563598633 0.8420861959457397 0.7850634455680847
1-605818 10.638084411621094 0.5728765726089478 -0.3488548696041107
1-249009 10.616233825683594 0.5467014908790588 0.4034392535686493
1-626533 10.563699722290039 0.5739568471908569 -0.025712262839078903
1-337116 10.74318790435791 0.5625145435333252 0.283511757850647
1-43865 10.938238143920898 0.9788455367088318 0.7006473541259766
1-210186 10.754106521606445 0.8385193943977356 0.40972229838371277
1-135812 10.742289543151855 0.610425591468811 0.30177947878837585
1-336461 10.821830749511719 0.6041116118431091 0.3167693018913269
1-153082 10.635045051574707 0.8200297951698303 0.8217199444770813
1-76694 10.653615951538086 0.5791608691215515 0.1381443738937378
1-80414 10.834407806396484 0.6505149602890015 0.8886659741401672
1-551344 10.915011405944824 0.5578566193580627 0.8723657727241516
1-117177 10.950784683227539 0.8457755446434021 0.9134175777435303
1-149507 10.700014114379883 0.9533166289329529 -0.18499960005283356
1-458706 10.907873153686523 0.6594429016113281 0.30587533116340637
1-604068 10.64376163482666 0.9021866321563721 0.5509003400802612
1-42214 10.903441429138184 0.7367154359817505 0.7415687441825867
1-218041 10.900836944580078 0.8694447875022888 1.3321176767349243
1-325663 10.605504989624023 0.7868894934654236 0.22851841151714325
1-631278 10.92325496673584 0.8842354416847229 0.23054037988185883
1-296824 10.840775489807129 0.890269935131073 0.6621811389923096
1-487432 10.931995391845703 0.5296676754951477 0.25714901089668274
1-37213 10.715385437011719 0.6670876145362854 0.33158713579177856
1-322035 10.608068466186523 0.7153379321098328 0.06779669970273972
1-174880 10.646004676818848 0.7413805723190308 0.2956162095069885
1-135517 10.862153053283691 0.9614360332489014 0.44824063777923584
1-251762 10.814393997192383 0.5203445553779602 0.28726041316986084
1-286729 10.806899070739746 0.5170121192932129 -0.051478274166584015
1-386452 10.688544273376465 0.7237302660942078 0.22023826837539673
1-392670 10.652569770812988 0.9225795865058899 0.3761802613735199
1-39802 10.938069343566895 0.7909530401229858 2.1724252700805664
1-634795 10.604293823242188 0.5120132565498352 0.8984463214874268
1-279410 10.82801342010498 0.9071520566940308 -0.14294958114624023
1-41746 10.84402847290039 0.7870126962661743 0.3214549720287323
1-604992 10.569929122924805 0.6103696823120117 -0.057313352823257446
1-22876 10.838505744934082 0.5199905037879944 0.3928551971912384
1-278057 10.63171100616455 0.5364700555801392 0.49323487281799316
1-324250 10.816067695617676 0.9845260977745056 0.610833466053009
1-211017 10.778877258300781 0.9617282152175903 0.46269452571868896
1-43733 10.568010330200195 0.5632538199424744 0.29005807638168335
1-1009 10.779037475585938 0.6961989402770996 1.356521725654602
1-419028 10.82829761505127 0.8718879222869873 0.8675022721290588
1-196331 10.798173904418945 0.5718843936920166 0.8219026923179626
1-543599 10.618429183959961 0.837249219417572 0.13766029477119446
1-620993 10.665245056152344 0.868243396282196 1.3318308591842651
1-42474 10.917436599731445 0.9046825766563416 0.4373626708984375
1-258667 10.942811965942383 0.8302078247070312 0.02059323899447918
1-198831 10.92952823638916 0.6666419506072998 0.39575499296188354
1-163516 10.559677124023438 0.8021959066390991 0.3573032319545746
1-634114 10.738510131835938 0.7447744607925415 0.2864949405193329
1-244372 10.922783851623535 0.5739891529083252 0.15701311826705933
